Distance,4.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-56
0.001,Bluetooth,-58
0.034,Bluetooth,-59
0.035,Bluetooth,-58
0.133,Bluetooth,-60
0.134,Bluetooth,-60
0.166,Bluetooth,-59
0.167,Bluetooth,-59
0.202,Bluetooth,-69
0.202,Bluetooth,-67
0.232,Bluetooth,-59
0.233,Bluetooth,-60
0.323,Bluetooth,-61
0.325,Bluetooth,-61
0.359,Bluetooth,-59
0.360,Bluetooth,-60
0.422,Bluetooth,-62
0.422,Bluetooth,-62
0.451,Bluetooth,-56
0.452,Bluetooth,-57
0.484,Bluetooth,-57
0.485,Bluetooth,-57
0.547,Bluetooth,-59
0.548,Bluetooth,-57
0.579,Bluetooth,-55
0.581,Bluetooth,-55
0.611,Bluetooth,-56
0.612,Bluetooth,-57
0.642,Bluetooth,-59
0.644,Bluetooth,-60
0.678,Bluetooth,-55
0.679,Bluetooth,-55
0.743,Bluetooth,-64
0.744,Bluetooth,-64
0.771,Bluetooth,-65
0.771,Bluetooth,-65
0.864,Bluetooth,-63
0.865,Bluetooth,-64
0.894,Bluetooth,-59
0.896,Bluetooth,-59
0.931,Bluetooth,-60
0.932,Bluetooth,-60
0.965,Bluetooth,-64
0.966,Bluetooth,-64
0.994,Bluetooth,-59
0.995,Bluetooth,-58
1.058,Bluetooth,-60
1.060,Bluetooth,-60
1.092,Bluetooth,-63
1.093,Bluetooth,-62
1.121,Bluetooth,-60
1.123,Bluetooth,-59
1.155,Bluetooth,-59
1.186,Bluetooth,-57
1.186,Bluetooth,-58
1.217,Bluetooth,-61
1.218,Bluetooth,-61
1.250,Bluetooth,-59
1.251,Bluetooth,-58
1.286,Bluetooth,-57
1.287,Bluetooth,-58
1.319,Bluetooth,-61
1.320,Bluetooth,-63
1.380,Bluetooth,-57
1.381,Bluetooth,-58
1.413,Bluetooth,-57
1.415,Bluetooth,-57
1.451,Bluetooth,-60
1.451,Bluetooth,-59
1.478,Bluetooth,-58
1.479,Bluetooth,-58
1.545,Bluetooth,-56
1.546,Bluetooth,-57
1.609,Bluetooth,-62
1.610,Bluetooth,-62
1.640,Bluetooth,-58
1.641,Bluetooth,-58
1.673,Bluetooth,-58
1.674,Bluetooth,-57
1.766,Bluetooth,-58
1.767,Bluetooth,-59
1.796,Bluetooth,-58
1.797,Bluetooth,-58
1.828,Bluetooth,-62
1.829,Bluetooth,-62
1.893,Bluetooth,-58
1.894,Bluetooth,-59
1.922,Bluetooth,-57
1.924,Bluetooth,-56
1.957,Bluetooth,-61
1.959,Bluetooth,-61
1.993,Bluetooth,-57
1.994,Bluetooth,-58
2.058,Bluetooth,-57
2.060,Bluetooth,-56
2.123,Bluetooth,-58
2.125,Bluetooth,-58
2.155,Bluetooth,-58
2.157,Bluetooth,-57
2.250,Bluetooth,-58
2.251,Bluetooth,-58
2.282,Bluetooth,-56
2.283,Bluetooth,-55
2.314,Bluetooth,-62
2.315,Bluetooth,-63
2.376,Bluetooth,-58
2.377,Bluetooth,-57
2.409,Bluetooth,-56
2.410,Bluetooth,-57
2.443,Bluetooth,-60
2.443,Bluetooth,-60
2.470,Bluetooth,-58
2.471,Bluetooth,-58
2.603,Bluetooth,-57
2.603,Bluetooth,-56
2.633,Bluetooth,-57
2.634,Bluetooth,-56
2.698,Bluetooth,-60
2.699,Bluetooth,-59
2.730,Bluetooth,-57
2.731,Bluetooth,-59
2.759,Bluetooth,-57
2.760,Bluetooth,-56
2.792,Bluetooth,-61
2.794,Bluetooth,-61
2.883,Bluetooth,-58
2.885,Bluetooth,-59
2.915,Bluetooth,-58
3.011,Bluetooth,-58
3.012,Bluetooth,-58
3.046,Bluetooth,-59
3.047,Bluetooth,-59
3.081,Bluetooth,-62
3.082,Bluetooth,-63
3.111,Bluetooth,-58
3.113,Bluetooth,-58
3.144,Bluetooth,-57
3.145,Bluetooth,-58
3.176,Bluetooth,-60
3.177,Bluetooth,-59
3.210,Bluetooth,-61
3.211,Bluetooth,-62
3.239,Bluetooth,-58
3.240,Bluetooth,-59
3.300,Bluetooth,-60
3.302,Bluetooth,-59
3.331,Bluetooth,-60
3.333,Bluetooth,-60
3.365,Bluetooth,-58
3.366,Bluetooth,-58
3.395,Bluetooth,-58
3.397,Bluetooth,-58
3.460,Bluetooth,-61
3.461,Bluetooth,-60
3.494,Bluetooth,-58
3.494,Bluetooth,-59
3.523,Bluetooth,-59
3.524,Bluetooth,-59
3.622,Bluetooth,-58
3.624,Bluetooth,-57
3.655,Bluetooth,-59
3.656,Bluetooth,-58
3.690,Bluetooth,-61
3.691,Bluetooth,-61
3.718,Bluetooth,-58
3.719,Bluetooth,-58
3.783,Bluetooth,-61
3.784,Bluetooth,-61
3.813,Bluetooth,-62
3.815,Bluetooth,-62
3.845,Bluetooth,-60
3.846,Bluetooth,-59
3.876,Bluetooth,-62
3.877,Bluetooth,-63
3.940,Bluetooth,-63
3.941,Bluetooth,-64
3.973,Bluetooth,-61
33.461,Bluetooth,-65
33.463,Bluetooth,-64
33.495,Bluetooth,-61
33.496,Bluetooth,-61
33.526,Bluetooth,-64
33.527,Bluetooth,-65
33.560,Bluetooth,-64
33.562,Bluetooth,-65
33.592,Bluetooth,-63
33.593,Bluetooth,-63
33.687,Bluetooth,-65
33.687,Bluetooth,-66
33.715,Bluetooth,-64
33.716,Bluetooth,-64
33.780,Bluetooth,-63
33.781,Bluetooth,-63
33.818,Bluetooth,-67
33.819,Bluetooth,-68
33.848,Bluetooth,-65
33.849,Bluetooth,-65
33.880,Bluetooth,-62
33.881,Bluetooth,-62
33.974,Bluetooth,-66
33.975,Bluetooth,-65
34.009,Bluetooth,-62
34.010,Bluetooth,-61
34.041,Bluetooth,-71
34.042,Bluetooth,-70
34.101,Bluetooth,-64
34.102,Bluetooth,-64
34.169,Bluetooth,-72
34.170,Bluetooth,-72
34.199,Bluetooth,-65
34.201,Bluetooth,-65
34.234,Bluetooth,-62
34.235,Bluetooth,-62
34.296,Bluetooth,-73
34.297,Bluetooth,-73
34.331,Bluetooth,-65
34.332,Bluetooth,-65
34.363,Bluetooth,-63
34.364,Bluetooth,-65
34.396,Bluetooth,-72
34.397,Bluetooth,-74
34.461,Bluetooth,-67
34.462,Bluetooth,-67
34.492,Bluetooth,-63
34.493,Bluetooth,-64
34.528,Bluetooth,-70
34.529,Bluetooth,-70
34.557,Bluetooth,-67
34.558,Bluetooth,-67
34.587,Bluetooth,-67
34.588,Bluetooth,-66
34.649,Bluetooth,-70
34.651,Bluetooth,-69
34.776,Bluetooth,-68
34.806,Bluetooth,-65
34.807,Bluetooth,-66
34.837,Bluetooth,-64
34.838,Bluetooth,-65
34.900,Bluetooth,-68
34.901,Bluetooth,-68
34.930,Bluetooth,-66
34.931,Bluetooth,-66
34.961,Bluetooth,-66
34.962,Bluetooth,-67
35.021,Bluetooth,-67
35.023,Bluetooth,-66
35.056,Bluetooth,-66
35.057,Bluetooth,-67
35.119,Bluetooth,-65
35.120,Bluetooth,-65
35.182,Bluetooth,-66
35.183,Bluetooth,-66
35.212,Bluetooth,-66
35.213,Bluetooth,-66
35.242,Bluetooth,-64
35.244,Bluetooth,-64
35.304,Bluetooth,-65
35.305,Bluetooth,-66
35.334,Bluetooth,-66
35.336,Bluetooth,-66
35.364,Bluetooth,-64
35.366,Bluetooth,-64
35.397,Bluetooth,-64
35.397,Bluetooth,-64
35.460,Bluetooth,-64
35.462,Bluetooth,-65
35.499,Bluetooth,-64
35.499,Bluetooth,-64
35.524,Bluetooth,-62
35.555,Bluetooth,-64
35.557,Bluetooth,-64
35.618,Bluetooth,-64
35.619,Bluetooth,-64
35.646,Bluetooth,-62
35.647,Bluetooth,-62
35.677,Bluetooth,-64
35.678,Bluetooth,-64
35.737,Bluetooth,-64
35.739,Bluetooth,-64
35.839,Bluetooth,-63
35.840,Bluetooth,-63
35.899,Bluetooth,-63
35.900,Bluetooth,-64
35.934,Bluetooth,-65
35.935,Bluetooth,-65
35.965,Bluetooth,-65
35.967,Bluetooth,-65
35.996,Bluetooth,-63
