Distance,6.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.055,Bluetooth,-62
0.056,Bluetooth,-62
0.149,Bluetooth,-62
0.150,Bluetooth,-62
0.212,Bluetooth,-59
0.213,Bluetooth,-60
0.275,Bluetooth,-63
0.276,Bluetooth,-63
0.370,Bluetooth,-63
0.434,Bluetooth,-58
0.435,Bluetooth,-58
0.531,Bluetooth,-58
0.532,Bluetooth,-59
0.567,Bluetooth,-63
0.568,Bluetooth,-62
0.625,Bluetooth,-58
0.626,Bluetooth,-58
0.661,Bluetooth,-64
0.662,Bluetooth,-64
0.691,Bluetooth,-57
0.692,Bluetooth,-56
0.725,Bluetooth,-58
0.725,Bluetooth,-58
0.755,Bluetooth,-63
0.786,Bluetooth,-56
0.787,Bluetooth,-57
0.820,Bluetooth,-60
0.821,Bluetooth,-60
0.881,Bluetooth,-65
0.882,Bluetooth,-65
0.910,Bluetooth,-59
0.911,Bluetooth,-60
1.036,Bluetooth,-60
1.036,Bluetooth,-61
1.066,Bluetooth,-70
1.067,Bluetooth,-71
1.134,Bluetooth,-59
1.135,Bluetooth,-60
1.228,Bluetooth,-61
1.229,Bluetooth,-61
1.259,Bluetooth,-66
1.260,Bluetooth,-66
1.297,Bluetooth,-59
1.297,Bluetooth,-60
1.322,Bluetooth,-62
1.351,Bluetooth,-67
1.352,Bluetooth,-68
1.383,Bluetooth,-65
1.384,Bluetooth,-65
1.414,Bluetooth,-62
1.415,Bluetooth,-62
1.445,Bluetooth,-65
1.446,Bluetooth,-65
1.512,Bluetooth,-61
1.514,Bluetooth,-63
1.573,Bluetooth,-65
1.574,Bluetooth,-65
1.666,Bluetooth,-65
1.667,Bluetooth,-65
1.732,Bluetooth,-62
1.733,Bluetooth,-63
1.764,Bluetooth,-65
1.766,Bluetooth,-65
1.831,Bluetooth,-62
1.832,Bluetooth,-62
1.863,Bluetooth,-66
1.865,Bluetooth,-64
1.924,Bluetooth,-62
1.925,Bluetooth,-62
1.959,Bluetooth,-65
1.960,Bluetooth,-66
2.058,Bluetooth,-65
2.058,Bluetooth,-65
2.097,Bluetooth,-58
2.098,Bluetooth,-57
2.124,Bluetooth,-62
2.125,Bluetooth,-62
2.177,Bluetooth,-62
2.273,Bluetooth,-69
2.274,Bluetooth,-69
2.337,Bluetooth,-62
2.338,Bluetooth,-62
2.369,Bluetooth,-65
2.370,Bluetooth,-65
2.430,Bluetooth,-62
2.431,Bluetooth,-61
2.524,Bluetooth,-63
2.525,Bluetooth,-61
2.557,Bluetooth,-68
2.558,Bluetooth,-67
2.618,Bluetooth,-62
2.619,Bluetooth,-62
2.652,Bluetooth,-68
2.653,Bluetooth,-68
2.683,Bluetooth,-58
2.685,Bluetooth,-58
2.716,Bluetooth,-62
2.717,Bluetooth,-62
2.780,Bluetooth,-70
