Distance,6.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.012,Bluetooth,-59
0.013,Bluetooth,-58
0.049,Bluetooth,-53
0.050,Bluetooth,-54
0.121,Bluetooth,-59
0.122,Bluetooth,-59
0.153,Bluetooth,-53
0.154,Bluetooth,-55
0.264,Bluetooth,-60
0.265,Bluetooth,-58
0.377,Bluetooth,-59
0.378,Bluetooth,-59
0.451,Bluetooth,-55
0.452,Bluetooth,-56
0.486,Bluetooth,-59
0.487,Bluetooth,-58
0.523,Bluetooth,-53
0.554,Bluetooth,-56
0.555,Bluetooth,-56
0.617,Bluetooth,-58
0.618,Bluetooth,-59
0.657,Bluetooth,-53
0.658,Bluetooth,-53
0.691,Bluetooth,-56
0.692,Bluetooth,-56
0.761,Bluetooth,-54
0.762,Bluetooth,-54
0.887,Bluetooth,-54
0.888,Bluetooth,-52
0.991,Bluetooth,-54
0.992,Bluetooth,-54
1.028,Bluetooth,-57
1.029,Bluetooth,-56
1.105,Bluetooth,-62
1.106,Bluetooth,-62
1.141,Bluetooth,-54
1.142,Bluetooth,-55
1.171,Bluetooth,-56
1.172,Bluetooth,-55
1.201,Bluetooth,-60
1.202,Bluetooth,-60
1.275,Bluetooth,-55
1.276,Bluetooth,-57
1.309,Bluetooth,-58
1.310,Bluetooth,-59
1.342,Bluetooth,-59
1.343,Bluetooth,-58
1.520,Bluetooth,-55
1.521,Bluetooth,-56
1.551,Bluetooth,-58
1.552,Bluetooth,-57
1.590,Bluetooth,-53
1.591,Bluetooth,-53
1.623,Bluetooth,-53
1.624,Bluetooth,-53
1.700,Bluetooth,-57
1.701,Bluetooth,-58
1.741,Bluetooth,-52
1.742,Bluetooth,-53
1.814,Bluetooth,-58
1.848,Bluetooth,-53
1.850,Bluetooth,-53
1.920,Bluetooth,-59
1.922,Bluetooth,-58
1.954,Bluetooth,-52
1.955,Bluetooth,-52
1.986,Bluetooth,-52
1.987,Bluetooth,-52
2.052,Bluetooth,-58
2.054,Bluetooth,-57
2.091,Bluetooth,-52
2.092,Bluetooth,-53
2.122,Bluetooth,-55
2.124,Bluetooth,-57
2.155,Bluetooth,-59
2.227,Bluetooth,-54
2.228,Bluetooth,-53
2.305,Bluetooth,-60
2.306,Bluetooth,-60
2.335,Bluetooth,-53
2.336,Bluetooth,-53
2.367,Bluetooth,-56
2.401,Bluetooth,-58
2.402,Bluetooth,-57
2.475,Bluetooth,-56
2.476,Bluetooth,-56
2.546,Bluetooth,-59
2.548,Bluetooth,-59
2.586,Bluetooth,-53
2.587,Bluetooth,-53
2.620,Bluetooth,-56
2.621,Bluetooth,-56
2.650,Bluetooth,-59
2.651,Bluetooth,-58
2.686,Bluetooth,-54
2.687,Bluetooth,-53
2.726,Bluetooth,-57
2.727,Bluetooth,-57
2.763,Bluetooth,-60
2.764,Bluetooth,-60
2.804,Bluetooth,-53
2.805,Bluetooth,-53
2.836,Bluetooth,-56
2.837,Bluetooth,-57
2.874,Bluetooth,-59
2.875,Bluetooth,-59
2.913,Bluetooth,-53
2.914,Bluetooth,-54
2.953,Bluetooth,-57
2.954,Bluetooth,-55
2.991,Bluetooth,-60
2.993,Bluetooth,-60
3.021,Bluetooth,-60
3.023,Bluetooth,-60
3.086,Bluetooth,-56
3.088,Bluetooth,-57
3.121,Bluetooth,-60
3.123,Bluetooth,-60
3.161,Bluetooth,-53
3.162,Bluetooth,-53
3.201,Bluetooth,-56
3.203,Bluetooth,-56
3.237,Bluetooth,-59
3.275,Bluetooth,-54
3.276,Bluetooth,-53
3.382,Bluetooth,-59
3.383,Bluetooth,-58
3.457,Bluetooth,-56
3.459,Bluetooth,-56
3.496,Bluetooth,-58
3.497,Bluetooth,-57
3.528,Bluetooth,-53
3.529,Bluetooth,-53
3.592,Bluetooth,-58
3.593,Bluetooth,-58
3.627,Bluetooth,-58
3.662,Bluetooth,-54
3.663,Bluetooth,-54
3.734,Bluetooth,-58
3.735,Bluetooth,-58
3.772,Bluetooth,-53
3.774,Bluetooth,-53
3.811,Bluetooth,-56
3.813,Bluetooth,-55
3.849,Bluetooth,-59
3.850,Bluetooth,-57
3.881,Bluetooth,-53
3.882,Bluetooth,-53
3.916,Bluetooth,-56
3.918,Bluetooth,-56
153.651,Bluetooth,-68
153.652,Bluetooth,-67
153.691,Bluetooth,-80
153.692,Bluetooth,-80
153.723,Bluetooth,-67
153.724,Bluetooth,-66
153.758,Bluetooth,-69
153.759,Bluetooth,-68
153.799,Bluetooth,-81
153.800,Bluetooth,-81
153.879,Bluetooth,-67
153.879,Bluetooth,-68
153.982,Bluetooth,-67
153.983,Bluetooth,-67
154.084,Bluetooth,-67
154.120,Bluetooth,-69
154.122,Bluetooth,-67
154.158,Bluetooth,-80
154.192,Bluetooth,-67
154.193,Bluetooth,-67
154.230,Bluetooth,-68
154.231,Bluetooth,-68
154.265,Bluetooth,-79
154.300,Bluetooth,-81
154.370,Bluetooth,-70
154.372,Bluetooth,-70
154.475,Bluetooth,-68
154.476,Bluetooth,-69
154.547,Bluetooth,-67
154.548,Bluetooth,-66
154.578,Bluetooth,-68
154.579,Bluetooth,-67
154.615,Bluetooth,-69
154.617,Bluetooth,-69
154.656,Bluetooth,-77
154.657,Bluetooth,-77
154.688,Bluetooth,-66
154.689,Bluetooth,-68
154.764,Bluetooth,-76
154.835,Bluetooth,-69
154.837,Bluetooth,-70
154.879,Bluetooth,-75
154.909,Bluetooth,-66
154.910,Bluetooth,-66
154.940,Bluetooth,-66
154.941,Bluetooth,-67
155.035,Bluetooth,-67
155.036,Bluetooth,-65
155.073,Bluetooth,-69
155.074,Bluetooth,-69
155.113,Bluetooth,-73
155.115,Bluetooth,-74
155.214,Bluetooth,-68
155.215,Bluetooth,-68
155.253,Bluetooth,-74
155.254,Bluetooth,-74
155.285,Bluetooth,-66
155.286,Bluetooth,-66
155.320,Bluetooth,-68
155.321,Bluetooth,-68
155.393,Bluetooth,-65
155.394,Bluetooth,-66
155.426,Bluetooth,-68
155.427,Bluetooth,-68
155.466,Bluetooth,-74
155.467,Bluetooth,-74
155.530,Bluetooth,-65
155.532,Bluetooth,-66
155.567,Bluetooth,-67
155.568,Bluetooth,-68
155.606,Bluetooth,-73
155.608,Bluetooth,-74
155.683,Bluetooth,-68
155.684,Bluetooth,-68
155.716,Bluetooth,-72
155.717,Bluetooth,-73
155.746,Bluetooth,-66
155.747,Bluetooth,-66
155.784,Bluetooth,-68
155.785,Bluetooth,-69
155.851,Bluetooth,-72
