Distance,6.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-59
0.001,Bluetooth,-59
0.034,Bluetooth,-58
0.035,Bluetooth,-58
0.098,Bluetooth,-57
0.099,Bluetooth,-56
0.134,Bluetooth,-57
0.134,Bluetooth,-58
0.197,Bluetooth,-58
0.198,Bluetooth,-59
0.227,Bluetooth,-57
0.228,Bluetooth,-57
0.286,Bluetooth,-58
0.287,Bluetooth,-59
0.354,Bluetooth,-57
0.355,Bluetooth,-58
0.385,Bluetooth,-58
0.386,Bluetooth,-59
0.484,Bluetooth,-59
0.485,Bluetooth,-59
0.548,Bluetooth,-57
0.549,Bluetooth,-57
0.579,Bluetooth,-58
0.580,Bluetooth,-59
0.645,Bluetooth,-56
0.646,Bluetooth,-57
0.677,Bluetooth,-59
0.678,Bluetooth,-59
0.714,Bluetooth,-60
0.715,Bluetooth,-60
0.737,Bluetooth,-57
0.738,Bluetooth,-57
0.769,Bluetooth,-59
0.770,Bluetooth,-59
0.831,Bluetooth,-57
0.832,Bluetooth,-56
0.862,Bluetooth,-60
0.863,Bluetooth,-58
0.956,Bluetooth,-57
0.957,Bluetooth,-58
0.987,Bluetooth,-59
0.988,Bluetooth,-59
1.050,Bluetooth,-57
1.052,Bluetooth,-58
1.083,Bluetooth,-59
1.084,Bluetooth,-60
1.211,Bluetooth,-60
1.212,Bluetooth,-60
1.244,Bluetooth,-57
1.245,Bluetooth,-57
1.278,Bluetooth,-58
1.279,Bluetooth,-59
1.315,Bluetooth,-60
1.341,Bluetooth,-57
1.342,Bluetooth,-56
1.372,Bluetooth,-59
1.436,Bluetooth,-56
1.437,Bluetooth,-57
1.466,Bluetooth,-59
1.467,Bluetooth,-59
1.532,Bluetooth,-58
1.533,Bluetooth,-57
1.591,Bluetooth,-59
1.593,Bluetooth,-58
1.652,Bluetooth,-56
1.653,Bluetooth,-57
1.684,Bluetooth,-58
1.685,Bluetooth,-58
1.747,Bluetooth,-58
1.748,Bluetooth,-57
1.777,Bluetooth,-60
1.779,Bluetooth,-59
1.810,Bluetooth,-60
1.811,Bluetooth,-60
1.868,Bluetooth,-59
1.870,Bluetooth,-59
1.914,Bluetooth,-60
1.915,Bluetooth,-60
1.937,Bluetooth,-57
1.938,Bluetooth,-58
2.033,Bluetooth,-58
2.034,Bluetooth,-58
2.063,Bluetooth,-58
2.064,Bluetooth,-59
2.156,Bluetooth,-58
2.156,Bluetooth,-58
2.189,Bluetooth,-60
2.190,Bluetooth,-60
2.224,Bluetooth,-56
2.225,Bluetooth,-58
2.258,Bluetooth,-60
2.259,Bluetooth,-60
2.356,Bluetooth,-58
2.357,Bluetooth,-57
2.387,Bluetooth,-59
2.389,Bluetooth,-58
2.454,Bluetooth,-57
2.456,Bluetooth,-56
2.484,Bluetooth,-59
2.485,Bluetooth,-59
2.546,Bluetooth,-58
2.547,Bluetooth,-57
2.580,Bluetooth,-59
2.581,Bluetooth,-59
2.610,Bluetooth,-59
2.611,Bluetooth,-60
2.644,Bluetooth,-57
2.645,Bluetooth,-57
2.675,Bluetooth,-60
