Distance,6.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.026,Bluetooth,-75
0.027,Bluetooth,-74
0.055,Bluetooth,-66
0.056,Bluetooth,-67
0.085,Bluetooth,-73
0.086,Bluetooth,-72
0.117,Bluetooth,-75
0.118,Bluetooth,-74
0.147,Bluetooth,-75
0.148,Bluetooth,-76
0.177,Bluetooth,-66
0.179,Bluetooth,-66
0.211,Bluetooth,-74
0.212,Bluetooth,-73
0.239,Bluetooth,-75
0.240,Bluetooth,-75
0.273,Bluetooth,-67
0.276,Bluetooth,-65
0.305,Bluetooth,-68
0.306,Bluetooth,-67
0.341,Bluetooth,-74
0.343,Bluetooth,-72
0.369,Bluetooth,-74
0.371,Bluetooth,-75
0.402,Bluetooth,-68
0.403,Bluetooth,-67
0.435,Bluetooth,-74
0.437,Bluetooth,-74
0.466,Bluetooth,-73
0.467,Bluetooth,-73
0.496,Bluetooth,-75
0.497,Bluetooth,-76
0.530,Bluetooth,-67
0.530,Bluetooth,-67
0.564,Bluetooth,-74
0.566,Bluetooth,-73
0.595,Bluetooth,-75
0.596,Bluetooth,-75
0.660,Bluetooth,-66
0.660,Bluetooth,-66
0.691,Bluetooth,-73
0.692,Bluetooth,-73
0.723,Bluetooth,-75
0.724,Bluetooth,-75
0.754,Bluetooth,-67
0.754,Bluetooth,-67
0.784,Bluetooth,-67
0.784,Bluetooth,-67
0.815,Bluetooth,-72
0.815,Bluetooth,-72
0.845,Bluetooth,-75
0.846,Bluetooth,-75
0.881,Bluetooth,-67
0.882,Bluetooth,-66
0.916,Bluetooth,-73
0.917,Bluetooth,-72
0.946,Bluetooth,-73
0.947,Bluetooth,-73
0.980,Bluetooth,-76
0.981,Bluetooth,-76
1.009,Bluetooth,-65
1.010,Bluetooth,-65
1.040,Bluetooth,-73
1.040,Bluetooth,-72
1.101,Bluetooth,-75
1.102,Bluetooth,-75
1.133,Bluetooth,-67
1.134,Bluetooth,-67
1.165,Bluetooth,-73
1.165,Bluetooth,-74
1.198,Bluetooth,-76
1.199,Bluetooth,-75
1.228,Bluetooth,-76
1.230,Bluetooth,-76
1.260,Bluetooth,-67
1.263,Bluetooth,-67
1.290,Bluetooth,-74
1.291,Bluetooth,-72
1.319,Bluetooth,-77
1.320,Bluetooth,-76
1.350,Bluetooth,-76
1.351,Bluetooth,-76
1.384,Bluetooth,-67
1.385,Bluetooth,-66
1.417,Bluetooth,-72
1.417,Bluetooth,-72
1.446,Bluetooth,-75
1.448,Bluetooth,-76
1.479,Bluetooth,-67
1.481,Bluetooth,-68
1.512,Bluetooth,128
1.545,Bluetooth,-73
1.546,Bluetooth,-72
1.572,Bluetooth,-75
1.573,Bluetooth,-77
1.609,Bluetooth,-66
1.611,Bluetooth,-67
1.638,Bluetooth,-73
1.639,Bluetooth,-73
1.703,Bluetooth,-77
1.704,Bluetooth,-77
1.736,Bluetooth,-68
1.737,Bluetooth,-67
1.768,Bluetooth,-73
1.769,Bluetooth,-73
1.798,Bluetooth,-77
1.799,Bluetooth,-77
1.831,Bluetooth,-68
1.834,Bluetooth,-67
1.866,Bluetooth,-68
1.867,Bluetooth,-67
1.898,Bluetooth,-74
1.900,Bluetooth,-74
1.928,Bluetooth,-77
1.928,Bluetooth,-78
1.954,Bluetooth,-67
1.954,Bluetooth,-68
2.020,Bluetooth,-74
2.020,Bluetooth,-72
2.049,Bluetooth,-78
2.050,Bluetooth,-78
2.081,Bluetooth,-68
2.081,Bluetooth,-68
2.113,Bluetooth,-75
2.113,Bluetooth,-74
2.177,Bluetooth,-79
2.177,Bluetooth,-79
2.209,Bluetooth,-68
2.210,Bluetooth,-69
2.238,Bluetooth,-76
2.238,Bluetooth,-76
2.298,Bluetooth,-80
2.299,Bluetooth,-80
2.361,Bluetooth,-79
2.361,Bluetooth,-76
2.421,Bluetooth,-79
2.421,Bluetooth,-80
2.451,Bluetooth,-69
2.451,Bluetooth,-69
2.486,Bluetooth,-78
2.486,Bluetooth,-77
2.514,Bluetooth,-79
2.515,Bluetooth,-79
2.545,Bluetooth,-77
2.545,Bluetooth,-78
2.575,Bluetooth,-71
2.575,Bluetooth,-69
2.606,Bluetooth,-79
2.606,Bluetooth,-77
2.634,Bluetooth,-78
2.635,Bluetooth,-79
2.670,Bluetooth,-69
2.671,Bluetooth,-69
2.700,Bluetooth,-71
2.700,Bluetooth,-68
2.734,Bluetooth,-77
2.735,Bluetooth,-76
2.765,Bluetooth,-79
2.765,Bluetooth,-79
2.797,Bluetooth,-70
2.798,Bluetooth,-70
2.828,Bluetooth,-70
