Distance,10.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.014,Bluetooth,-58
0.015,Bluetooth,-57
0.081,Bluetooth,-57
0.082,Bluetooth,-58
0.145,Bluetooth,-62
0.146,Bluetooth,-63
0.176,Bluetooth,-58
0.177,Bluetooth,-59
0.209,Bluetooth,-57
0.210,Bluetooth,-58
0.302,Bluetooth,-58
0.303,Bluetooth,-58
0.332,Bluetooth,-57
0.333,Bluetooth,-57
0.364,Bluetooth,-62
0.365,Bluetooth,-62
0.429,Bluetooth,-58
0.430,Bluetooth,-59
0.458,Bluetooth,-56
0.460,Bluetooth,-57
0.493,Bluetooth,-61
0.495,Bluetooth,-62
0.529,Bluetooth,-57
0.530,Bluetooth,-57
0.594,Bluetooth,-57
0.596,Bluetooth,-57
0.659,Bluetooth,-59
0.661,Bluetooth,-58
0.691,Bluetooth,-57
0.693,Bluetooth,-57
0.786,Bluetooth,-58
0.787,Bluetooth,-59
0.818,Bluetooth,-55
0.819,Bluetooth,-56
0.850,Bluetooth,-63
0.851,Bluetooth,-64
0.912,Bluetooth,-56
0.913,Bluetooth,-57
0.945,Bluetooth,-58
0.946,Bluetooth,-56
0.979,Bluetooth,-60
0.979,Bluetooth,-60
1.006,Bluetooth,-58
1.007,Bluetooth,-58
1.139,Bluetooth,-57
1.139,Bluetooth,-57
1.169,Bluetooth,-58
1.170,Bluetooth,-57
1.234,Bluetooth,-60
1.235,Bluetooth,-60
1.266,Bluetooth,-56
1.267,Bluetooth,-58
1.295,Bluetooth,-56
1.296,Bluetooth,-57
1.328,Bluetooth,-61
1.330,Bluetooth,-60
1.419,Bluetooth,-58
1.421,Bluetooth,-58
1.451,Bluetooth,-59
1.547,Bluetooth,-58
1.548,Bluetooth,-58
1.582,Bluetooth,-59
1.583,Bluetooth,-59
1.617,Bluetooth,-62
1.618,Bluetooth,-63
1.647,Bluetooth,-58
1.649,Bluetooth,-58
1.680,Bluetooth,-58
1.681,Bluetooth,-58
1.712,Bluetooth,-59
1.713,Bluetooth,-59
1.746,Bluetooth,-61
1.747,Bluetooth,-61
1.775,Bluetooth,-57
1.776,Bluetooth,-58
1.836,Bluetooth,-59
