Distance,6.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhoneXR
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-54
0.002,Bluetooth,-53
0.031,Bluetooth,-47
0.033,Bluetooth,-49
0.064,Bluetooth,-51
0.066,Bluetooth,-50
0.099,Bluetooth,-53
0.101,Bluetooth,-53
0.159,Bluetooth,-48
0.161,Bluetooth,-47
0.190,Bluetooth,-51
0.191,Bluetooth,-51
0.283,Bluetooth,-48
0.285,Bluetooth,-47
0.316,Bluetooth,-51
0.318,Bluetooth,-51
0.347,Bluetooth,-55
0.349,Bluetooth,-53
0.379,Bluetooth,-48
0.380,Bluetooth,-49
0.448,Bluetooth,-51
0.449,Bluetooth,-50
0.481,Bluetooth,-52
0.483,Bluetooth,-50
0.510,Bluetooth,-47
0.512,Bluetooth,-47
0.541,Bluetooth,-48
0.543,Bluetooth,-49
0.602,Bluetooth,-53
0.604,Bluetooth,-51
0.633,Bluetooth,-46
0.635,Bluetooth,-47
0.666,Bluetooth,-49
0.668,Bluetooth,-49
0.699,Bluetooth,-50
0.731,Bluetooth,-51
0.733,Bluetooth,-51
0.763,Bluetooth,-46
0.765,Bluetooth,-47
0.794,Bluetooth,-50
0.795,Bluetooth,-51
0.824,Bluetooth,-48
0.826,Bluetooth,-50
0.857,Bluetooth,-48
0.858,Bluetooth,-48
0.886,Bluetooth,-47
0.888,Bluetooth,-49
0.919,Bluetooth,-49
0.920,Bluetooth,-50
0.953,Bluetooth,-50
0.955,Bluetooth,-50
0.981,Bluetooth,-45
1.015,Bluetooth,-50
1.017,Bluetooth,-50
1.045,Bluetooth,-51
1.046,Bluetooth,-51
1.078,Bluetooth,-49
1.080,Bluetooth,-48
1.107,Bluetooth,-48
1.108,Bluetooth,-48
1.140,Bluetooth,-48
1.141,Bluetooth,-50
1.201,Bluetooth,-49
1.202,Bluetooth,-50
1.231,Bluetooth,-49
1.232,Bluetooth,-49
1.264,Bluetooth,-49
1.266,Bluetooth,-50
1.294,Bluetooth,-50
1.296,Bluetooth,-49
1.357,Bluetooth,-48
1.358,Bluetooth,-49
1.389,Bluetooth,-49
1.390,Bluetooth,-49
1.421,Bluetooth,-51
1.422,Bluetooth,-51
1.515,Bluetooth,-51
1.517,Bluetooth,-50
1.549,Bluetooth,-48
1.551,Bluetooth,-48
1.578,Bluetooth,-48
1.579,Bluetooth,-48
1.641,Bluetooth,-48
1.643,Bluetooth,-48
1.674,Bluetooth,-49
1.676,Bluetooth,-49
1.703,Bluetooth,-46
1.704,Bluetooth,-45
1.736,Bluetooth,-48
1.738,Bluetooth,-49
1.803,Bluetooth,-51
1.805,Bluetooth,-50
1.835,Bluetooth,-46
1.836,Bluetooth,-46
1.865,Bluetooth,-48
1.867,Bluetooth,-48
1.901,Bluetooth,-51
1.902,Bluetooth,-51
1.959,Bluetooth,-48
1.961,Bluetooth,-48
1.994,Bluetooth,-49
1.995,Bluetooth,-49
2.028,Bluetooth,-53
2.030,Bluetooth,-53
2.059,Bluetooth,-46
2.060,Bluetooth,-47
2.161,Bluetooth,-52
2.162,Bluetooth,-53
2.190,Bluetooth,-47
2.192,Bluetooth,-46
2.221,Bluetooth,-48
2.222,Bluetooth,-48
2.283,Bluetooth,-51
2.284,Bluetooth,-51
2.311,Bluetooth,-45
2.312,Bluetooth,-46
2.342,Bluetooth,-47
2.344,Bluetooth,-48
2.374,Bluetooth,-50
2.376,Bluetooth,-51
2.406,Bluetooth,-51
2.407,Bluetooth,-51
2.438,Bluetooth,-47
2.439,Bluetooth,-46
2.470,Bluetooth,-47
2.472,Bluetooth,-48
2.501,Bluetooth,-52
2.502,Bluetooth,-51
2.534,Bluetooth,-45
2.536,Bluetooth,-46
2.566,Bluetooth,-46
2.567,Bluetooth,-46
2.602,Bluetooth,-47
2.603,Bluetooth,-47
2.632,Bluetooth,-51
2.634,Bluetooth,-50
2.660,Bluetooth,-42
2.724,Bluetooth,-47
2.821,Bluetooth,-47
2.823,Bluetooth,-47
2.883,Bluetooth,-50
2.885,Bluetooth,-50
2.914,Bluetooth,-45
2.916,Bluetooth,-46
2.945,Bluetooth,-47
2.946,Bluetooth,-49
2.975,Bluetooth,-49
2.977,Bluetooth,-50
3.007,Bluetooth,-48
3.008,Bluetooth,-51
3.039,Bluetooth,-46
3.041,Bluetooth,-46
3.070,Bluetooth,-47
3.072,Bluetooth,-47
3.162,Bluetooth,-45
3.164,Bluetooth,-46
3.192,Bluetooth,-47
3.194,Bluetooth,-47
3.257,Bluetooth,-47
3.258,Bluetooth,-46
3.321,Bluetooth,-46
3.352,Bluetooth,-49
3.353,Bluetooth,-49
3.381,Bluetooth,-46
3.382,Bluetooth,-47
3.410,Bluetooth,-46
3.412,Bluetooth,-46
3.442,Bluetooth,-47
3.444,Bluetooth,-47
3.602,Bluetooth,-48
3.604,Bluetooth,-49
3.631,Bluetooth,-47
3.633,Bluetooth,-46
3.665,Bluetooth,-48
3.667,Bluetooth,-48
3.697,Bluetooth,-49
3.700,Bluetooth,-50
3.759,Bluetooth,-46
3.761,Bluetooth,-46
3.826,Bluetooth,-50
3.827,Bluetooth,-49
3.859,Bluetooth,-47
3.860,Bluetooth,-46
3.889,Bluetooth,-46
3.891,Bluetooth,-46
3.925,Bluetooth,-47
